City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
417,tucuma,BR,83.71,overcast clouds,-0.1833,-50.05,
418,buala,SB,81.27,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
419,edd,ER,87.04,overcast clouds,13.9297,41.6925,
420,porto novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
421,le port,RE,73.4,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
422,sorong,ID,77.05,overcast clouds,-0.8833,131.25,waigo splash hotel
424,urubamba,PE,74.3,broken clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
425,marzuq,YE,76.01,overcast clouds,14.4,46.4667,
426,sarwar,IN,79.48,clear sky,26.0667,75.0,सैनी समाज भवन न.2
427,puerto narino,CO,80.55,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
428,campo maior,BR,89.67,clear sky,-4.8278,-42.1686,Elite Hotel
430,conway,US,84.09,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
431,saint-joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
432,albion,US,74.01,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
433,miramar,US,87.01,scattered clouds,25.9873,-80.2323,Miramar
434,ankang,CN,71.37,broken clouds,32.68,109.0172,安琪酒店
436,kloulklubed,PW,83.57,broken clouds,7.0419,134.2556,Storyboard Beach Resort
437,santa cruz de la palma,ES,73.54,clear sky,28.6835,-17.7642,H10 Taburiente Playa
438,pacific grove,US,98.58,clear sky,36.6177,-121.9166,Lovers Point Inn
440,jharsuguda,IN,76.17,light rain,21.85,84.0333,Hotel Meghdoot
441,metro,ID,74.97,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
443,inhambane,MZ,72.05,overcast clouds,-23.865,35.3833,Oceano
444,maragogi,BR,76.68,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
446,porto walter,BR,94.57,broken clouds,-8.2686,-72.7439,Secretaria de saúde
450,ajmer,IN,77.49,clear sky,26.45,74.6333,OYO 862 Hotel Embassy
451,idukki,IN,71.24,overcast clouds,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
452,ntoum,GA,78.57,light rain,0.3833,9.7833,Hôtel Santa Barbara
454,ashland,US,73.42,overcast clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
456,wukari,NG,76.82,scattered clouds,7.85,9.7833,Elimtop
457,oussouye,SN,84.38,overcast clouds,12.485,-16.5469,Auberge du Routard
461,ambulu,ID,74.1,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
463,bam,IR,76.93,clear sky,29.106,58.357,Bam Tourist Hotel
466,palladam,IN,77.2,overcast clouds,10.9833,77.3,SA Residency
473,fukue,JP,76.96,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
476,lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
479,gat,IL,74.08,scattered clouds,31.61,34.7642,OlusHome
480,mahon,ES,73.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
484,boueni,YT,76.98,broken clouds,-12.9025,45.0761,The feet in water
485,luanda,AO,73.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
486,vila velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
489,cairns,AU,80.1,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
